arm,engine,effort,wall_s,input_tok,cache_write,cache_read,output_tok,reasoning_tok,total_tok,cost_est_usd,exit,notes
gpt56r2,GPT-5.6 Sol (re-run),high,1772.7,20207911,,19587584,48738,16906,20256649,14.3576,0,"auth=chatgpt-account;slug=gpt-5.6-sol; re-run 2026-07-31 after OpenAI serving improvements (list price unchanged) - fresh wall/cost/fixes replace the 07-26 row on cards, old run stays in receipts"
grok45max,Grok 4.5 (max),high,1.2,0,,0,0,0,0,,1,"VOID(false start: two concurrent grok CLI processes raced on auth.json and wiped credentials; device re-login, rerun below); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31; EFFORT CORRECTION: requested max, CLI has no max and silently ran high (ACP-verified 2026-08-01) - second high run, variance not dial"
opus5max,Opus 5 (max),max,1572.5,3035,493593,43641100,65368,,44203096,26.5549,0,"model=claude-opus-5;effort=max companion to opus5(high), added 2026-07-31"
gpt56solmax,GPT-5.6 Sol (max),max,4776.5,54666810,,53349632,127394,50818,54794204,37.0825,0,"auth=chatgpt-account;slug=gpt-5.6-sol;effort=max companion to gpt56/gpt56r2(high), added 2026-07-31"
grok45max,Grok 4.5 (max),high,669.5,167834,,165120,279,18,168114,4.418,0,"FLOOR reconstructed from ~/.grok/sessions (3 sessions, 70 requests, 4.0M cached-read, rates 2/0.5/6 $/MTok); SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5;effort=max companion to grok45(high), added 2026-07-31; EFFORT CORRECTION: requested max, CLI has no max and silently ran high (ACP-verified 2026-08-01) - second high run, variance not dial"
fable5max,Fable 5 (max),max,1972.3,330,510018,54938062,85863,,55534273,65.6097,0,"model=claude-fable-5;effort=max companion to fable5(high), added 2026-08-01"
dsv4pro,DeepSeek V4-Pro,default,876.6,1182360,0,6033664,21862,,7237886,0.5552,0,"via=kimi_proxy2:8790;upstream=OR:deepseek/deepseek-v4-pro;billing=token-estimate-at-OR-list (0.435/0.003625/0.87 per MTok, credits-delta cross-check); PRIVATE comparison arm vs dsv4flash (Pawel 2026-08-01, no card/no post); model string carries [1m] per the dsv4flash lesson (bare claude-opus-5 = 200K assumption, autocompact thrash); REAL-BILL $5.54 credits-delta for BOTH legs combined vs $1.26 token-estimate: cache-read billed at ~$0.36/M (near full input rate) - the OR-listed $0.003625/M cache discount did NOT materialize for v4-pro (v4-flash's did, to the cent); treat cost_est as understated ~4.4x | EFFORT LABEL CORRECTED 2026-08-06: this column previously read `high`. It ran at DEFAULT. OpenRouter accepts any effort value for these models - including a nonsense string - with HTTP 200 and applies none, so the tier was requested and never set. First-party APIs (Meta, xAI, Alibaba) reject an invalid value with an error instead. The scores are unchanged; only the label was wrong."
dsv4flash0731,DeepSeek V4-Flash 0731,default,1841.0,7673989,0,19717696,46663,,27438348,1.1426,0,"via=kimi_proxy2:8791;upstream=OR:deepseek/deepseek-v4-flash-0731 (the Jul 31 re-post-trained revision, providers serve deepseek-v4-flash-20260731); the ORIGINAL dsv4flash arm resolved to the base slug = APRIL snapshot 20260423 (endpoints API verified 2026-08-01) - this arm is the actual new model; billing=token-estimate at OR list (0.14/0.0028/0.28), credits-delta canonical (v4-pro lesson: listed cache discount may not be honored); REAL-BILL both legs combined $1.52 credits-delta vs $1.74 estimate - cache pricing roughly honored for -0731 (unlike v4-pro) | EFFORT LABEL CORRECTED 2026-08-06: this column previously read `high`. It ran at DEFAULT. OpenRouter accepts any effort value for these models - including a nonsense string - with HTTP 200 and applies none, so the tier was requested and never set. First-party APIs (Meta, xAI, Alibaba) reject an invalid value with an error instead. The scores are unchanged; only the label was wrong."
qwen38max,Qwen3.8-Max,xhigh,4899.6,3919513,343350,24694130,73821,,29030814,14.4555,0,"via=kimi_proxy2:8792;upstream=OR qwen3.8-max slug (announced 2026-08-03, not yet listed - poller Temp/scripts/poll_qwen38_20260803.py fills the slug and fires the chain when OR lists it); billing=token-estimate at qwencloud list rates (2.0 in / 0.25 implicit-cache / 6.0 out; explicit-cache 2.5 write / 0.17 read NOT modeled - OR path decides which applies), credits-delta canonical per the v4-pro cache-pricing lesson; ctx 1M (991K max input, qwencloud) so the CLI model string MUST carry [1m] (bare claude-opus-5 = 200K assumption = autocompact thrash, dsv4flash lesson) | EFFORT LABEL: requested `high`, ran `xhigh`. QwenCloud documents reasoning_effort for qwen3.8-max as low|medium|xhigh (default xhigh) and explicitly maps OpenAI-standard names onto them - high -> xhigh - erroring on anything outside that set. So this arm ran at its MAXIMUM reasoning tier, not a middle one."
musespark12,Muse Spark 1.2,xhigh,1292.6,2691692,0,6460436,17887,,9170015,4.4097,0,"Meta Muse Spark 1.2 via native Anthropic-compatible endpoint https://api.meta.ai/v1/messages (NO local proxy - Meta serves the Anthropic wire format directly, unlike the OR-proxied arms). EFFORT VERIFIED ACTIVE 2026-08-06 per the grok45max lesson: output_config.effort (what Claude Code sends) accepts ONLY low|medium|high|xhigh - `max`, `ultra`, `none`, `minimal` are all 400-REJECTED, so the endpoint validates LOUDLY and cannot silently clamp; xhigh IS the ceiling and the label is honest. N=3 replicate probe on a fixed reasoning prompt: low mean 1055 thinking-tok, high 1738, xhigh 1999 (low vs high non-overlapping = real dial; high vs xhigh overlaps at n=3 = weak separation, do not claim a big dial effect). Model string MUST carry [1m]: ctx verified >=800K (800,017 input tokens accepted 200) and the CLI strips the suffix before sending upstream (verified - Meta rejects unknown model ids loudly, and the smoke run returned 200). Prompt caching CONFIRMED working (cache_read_input_tokens 51298 on a warm second run). BILLING TIER VERIFIED STANDARD 2026-08-06 from live response headers (x-ratelimit-limit-requests=3000, x-ratelimit-limit-tokens=4000000 - the published standard-tier limits; the cheaper CONTRIBUTOR tier is capped at 60 RPM). This matters beyond cost: the contributor tier buys its ~12-21x discount with permission to train Meta models on prompts AND completions, while standard is contractually excluded from training - so the bench repo contents were NOT fed to training. Standard list rates applied here: 1.25 input / 0.15 cached-read / 4.25 output per MTok, no long-context premium. CAVEAT: the cache-WRITE rate is not published anywhere I could verify; cache_write is set equal to input (1.25) as a conservative stand-in, so cost_est_usd is a list-rate ESTIMATE, not a bill - confirm against the real Meta invoice before putting it on a card (the v4-pro cache-pricing lesson: a listed cache discount did not apply)."
musespark12or,Muse Spark 1.2 (OpenRouter),default,2382.8,3515223,0,32087190,269888,,35872301,10.025,0,"via=kimi_proxy2:8794;upstream=openrouter meta/muse-spark-1.2 (ctx 1,048,576; OR list rates identical to Meta direct: 1.25 in / 0.15 cache-read / 4.25 out). Run 2026-08-06 because Meta's OWN endpoint was returning 402 Billing verification failed - this is the SAME MODEL reached by a different serving path. *** EFFORT COLUMN IS A REQUEST, NOT AN ACTIVE SETTING - DO NOT READ THIS AS AN XHIGH ROW. *** Verified 2026-08-06: OpenRouter's dial is INERT for this model. OR accepts ANY effort string including `bogus_zzz` with HTTP 200 (no validation = the grok45max silent-clamp signature), and n=3 replicates on a fixed reasoning prompt are flat-to-inverted - low 1881 mean thinking-tok / high 1815 / xhigh 1795, with within-level spread 808-1430 dwarfing the ~86 between-level gap. By contrast Meta's FIRST-PARTY endpoint 400-REJECTS `ultra`/`max`/`bogus` and separates cleanly (low 1055 / high 1738 / xhigh 1999). So this row measures DEFAULT thinking and is NOT an apples-to-apples companion to the musespark12 (Meta-direct, genuine xhigh) row. Same first-party-real / OR-fake split the other session documented for grok-4.5 the same week. Model string is claude-opus-5[1m] only to give the CLI a proven 1M context assumption (the dsv4flash autocompact-thrash lesson); the proxy rewrites every upstream call to meta/muse-spark-1.2. Billing: token-estimate at OR list, credits-delta canonical per the v4-pro cache-pricing lesson.;openrouter_billed_usd=10.025 | EFFORT LABEL: requested xhigh, ran DEFAULT - this arm went through OpenRouter, which accepts any effort value (including a nonsense one) with HTTP 200 and applies none. Its Meta first-party sibling (musespark12) is the same model with the tier actually applied."
grok45r3,Grok 4.5 (re-run Aug 6),high,878.0,182120,,181888,324,14,182444,5.2225,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.5. THIRD high run, Pawel 2026-08-06 ('I've heard it improved') - same shape as the gpt56r2 Sol re-run: this tests a SERVING change, not a new model. The grok CLI still lists only grok-4.5 (no 4.6 as of this run). `high` IS the ceiling: grok-4.5 exposes only low/medium/high, the CLI silently clamps unknown values (ACP-verified 2026-08-01) and the first-party API 400-rejects reasoning_effort=max. No thinking-budget parameter exists on this CLI, and `grok agent ... stdio` - the ACP mode this harness drives - has NO --max-turns, so nothing caps rounds (verified 2026-08-06 from its full help). READ THE DELTA CAREFULLY: the first-party n=5 dial probe found default(no param)=medium and medium~=high indistinguishable, so `high` buys little over default on this model; and priors at this same setting are grok45 16/105 and grok45max 13/105, so this is the THIRD point in a variance picture, not a clean before/after. MUST RUN SEQUENTIALLY - two concurrent grok CLI processes race on auth.json and wiped credentials once (2026-08-01), forcing a device re-login.; FLOOR reconstructed via tools/grok_cost_floor.py (3 sessions, 74 requests, ~8.82M cached-read, 182,143 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
grok46,Grok 4.6,xhigh,1001.1,275831,,275584,339,16,276170,11.4415,0,"SNAPSHOT-not-bill;reconstruct-from-sessions;slug=grok-4.6. EFFORT VERIFIED ACTIVE 2026-08-12 via zero-token ACP session/new readback (evidence: experiments/effort-dial-probes/20260812-grok46-acp-readback.{md,json}): grok-4.6's enum is low|medium|high|xhigh; requesting xhigh echoes back ACTIVE xhigh, so the label is honest and xhigh IS the ceiling - a NEW tier vs grok-4.5, which still tops out at high in the same session/new response. The exact string is `xhigh` with NO hyphen: 'x-high', 'max', and garbage values all SILENTLY CLAMP TO HIGH (the CLI validates nothing - only the readback makes a row trustworthy; the hyphenated spelling would have been the grok45max mistake via typo). ctx 500,000 per ACP _meta. Legs run CONCURRENT 2026-08-12 on Pawel's explicit ask (wall-clock caveat vs sequential baselines; auth.json race risk accepted - backup in Temp/data/grok-auth-backup/, abhb launch staggered past gbvb's prepare to dodge the WinError5 rename-lock class).; FLOOR reconstructed via tools/grok_cost_floor.py (3 sessions, 113 requests, ~20.42M cached-read, 275,933 peak ctx, rates 2/0.5/6 $/MTok); grok CLI reports context occupancy, not cumulative usage - NOT A BILL"
