group,variant,file,prompt,sample,words,sentences,em_dash,neg_parallel,triad,signpost,self_clap,filler_transition,slop_words,bold_label,md_structure,participial_tail,closing_recap,tells,tells_per_1k,questions,staccato_share,sent_mean,sent_stdev,pct_10w_band
fable,bare,essays/fable/p2-launch-1.md,p2-launch,1,418,15,6,0,1,0,0,0,0,0,15,0,0,7,16.7,0,0.0,20.4,9.2,0.47
fable,bare,essays/fable/p2-launch-2.md,p2-launch,2,503,19,5,0,0,0,0,0,0,1,20,0,0,6,11.9,2,0.11,17.6,10.3,0.32
fable,bare,essays/fable/p2-launch-3.md,p2-launch,3,491,24,3,0,2,0,0,0,0,0,16,1,0,6,12.2,1,0.04,16.2,7.2,0.46
fable,bare,essays/fable/p3-linkedin-1.md,p3-linkedin,1,493,50,0,1,1,1,0,0,0,0,0,0,0,3,6.1,2,0.18,9.9,6.4,0.56
fable,bare,essays/fable/p3-linkedin-2.md,p3-linkedin,2,508,40,0,1,0,1,0,0,1,3,4,0,0,6,11.8,2,0.05,11.9,6.8,0.5
fable,bare,essays/fable/p3-linkedin-3.md,p3-linkedin,3,503,28,0,0,1,1,1,0,0,4,6,0,0,7,13.9,0,0.07,11,6.9,0.54
opus,bare,essays/opus/p1-essay-1.md,p1-essay,1,505,9,7,1,0,0,0,0,2,5,6,0,0,15,29.7,0,0.0,15.7,6.2,0.89
opus,bare,essays/opus/p1-essay-2.md,p1-essay,2,493,27,5,1,1,0,0,0,0,5,6,0,0,12,24.3,0,0.0,16.9,7.6,0.41
opus,bare,essays/opus/p1-essay-3.md,p1-essay,3,523,8,3,2,0,0,0,0,0,6,7,0,0,11,21.0,0,0.0,15.4,6.7,0.75
opus,bare,essays/opus/p2-launch-1.md,p2-launch,1,486,13,4,0,1,0,0,0,0,5,21,0,0,10,20.6,0,0.0,21.1,7.7,0.46
opus,bare,essays/opus/p2-launch-2.md,p2-launch,2,517,15,4,0,0,0,0,0,0,4,21,0,0,8,15.5,0,0.0,20,8.0,0.47
opus,bare,essays/opus/p2-launch-3.md,p2-launch,3,503,14,5,0,0,0,0,0,0,4,21,0,0,9,17.9,0,0.07,18.8,9.5,0.43
opus,bare,essays/opus/p3-linkedin-1.md,p3-linkedin,1,476,31,2,0,0,0,1,0,0,4,4,0,0,7,14.7,4,0.06,9.9,5.8,0.58
opus,bare,essays/opus/p3-linkedin-2.md,p3-linkedin,2,467,29,2,1,1,1,0,0,0,4,4,0,0,9,19.3,1,0.07,10.8,8.1,0.55
opus,bare,essays/opus/p3-linkedin-3.md,p3-linkedin,3,484,38,2,1,1,1,0,0,0,3,3,0,0,8,16.5,1,0.11,12.1,7.9,0.45
grok,bare,essays/grok/p1-essay-1.md,p1-essay,1,369,23,2,2,8,0,0,0,0,0,1,1,0,13,35.2,0,0.0,15.2,6.4,0.43
grok,bare,essays/grok/p1-essay-2.md,p1-essay,2,319,23,5,1,3,0,0,0,1,0,1,1,0,11,34.5,0,0.0,13.7,5.7,0.43
grok,bare,essays/grok/p1-essay-3.md,p1-essay,3,371,28,2,0,7,0,0,0,0,0,1,0,0,9,24.3,0,0.04,13.1,5.3,0.61
grok,bare,essays/grok/p2-launch-1.md,p2-launch,1,376,21,4,0,4,0,0,0,0,0,9,0,0,8,21.3,1,0.1,15.2,7.1,0.43
grok,bare,essays/grok/p2-launch-2.md,p2-launch,2,221,9,3,0,3,0,0,0,0,1,6,0,0,7,31.7,0,0.0,18.3,7.0,0.67
grok,bare,essays/grok/p2-launch-3.md,p2-launch,3,256,12,4,0,6,0,0,0,0,2,7,0,0,12,46.9,1,0.0,16.9,6.0,0.5
grok,bare,essays/grok/p3-linkedin-1.md,p3-linkedin,1,480,31,1,1,0,1,0,0,0,0,5,0,0,3,6.2,1,0.19,9.2,5.3,0.55
grok,bare,essays/grok/p3-linkedin-2.md,p3-linkedin,2,389,46,4,2,1,1,0,0,0,0,0,0,0,8,20.6,1,0.2,8.5,4.8,0.61
grok,bare,essays/grok/p3-linkedin-3.md,p3-linkedin,3,284,33,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.12,8.6,4.9,0.64
terra,bare,essays/terra/p1-essay-1.md,p1-essay,1,463,36,2,1,4,0,0,0,0,0,1,1,0,8,17.3,0,0.0,12.7,5.5,0.58
terra,bare,essays/terra/p1-essay-2.md,p1-essay,2,439,31,2,2,4,0,0,0,0,0,0,0,0,8,18.2,0,0.0,14.2,6.8,0.48
terra,bare,essays/terra/p1-essay-3.md,p1-essay,3,441,30,6,2,3,0,0,0,0,0,0,0,0,11,24.9,0,0.0,14.7,7.0,0.6
terra,bare,essays/terra/p2-launch-1.md,p2-launch,1,257,9,1,0,3,0,0,0,1,0,12,0,0,5,19.5,0,0.0,19.2,10.9,0.33
terra,bare,essays/terra/p2-launch-2.md,p2-launch,2,213,8,2,0,0,0,0,0,0,0,7,0,0,2,9.4,0,0.0,19.9,7.0,0.5
terra,bare,essays/terra/p2-launch-3.md,p2-launch,3,225,9,1,0,0,0,0,0,1,0,7,0,0,2,8.9,1,0.0,19.2,10.1,0.33
terra,bare,essays/terra/p3-linkedin-1.md,p3-linkedin,1,283,24,4,0,2,1,0,0,0,3,8,0,0,10,35.3,1,0.12,9.0,4.2,0.62
terra,bare,essays/terra/p3-linkedin-2.md,p3-linkedin,2,304,25,2,0,0,1,0,0,0,0,10,0,0,3,9.9,0,0.24,8.1,5.5,0.68
terra,bare,essays/terra/p3-linkedin-3.md,p3-linkedin,3,294,22,2,1,0,1,0,0,0,0,14,0,0,4,13.6,0,0.18,8.9,6.0,0.64
luna,bare,essays/luna/p1-essay-1.md,p1-essay,1,420,29,2,1,3,0,0,0,0,0,1,1,0,7,16.7,0,0.0,14.3,4.9,0.72
luna,bare,essays/luna/p1-essay-2.md,p1-essay,2,438,29,1,1,0,0,0,0,0,0,1,0,0,2,4.6,0,0.0,14.9,5.7,0.52
luna,bare,essays/luna/p1-essay-3.md,p1-essay,3,465,30,0,1,3,0,0,0,0,0,1,2,0,6,12.9,0,0.0,15.3,4.6,0.67
luna,bare,essays/luna/p2-launch-1.md,p2-launch,1,205,7,1,0,0,0,0,0,1,0,7,1,0,3,14.6,0,0.0,21.4,8.8,0.43
luna,bare,essays/luna/p2-launch-2.md,p2-launch,2,185,6,2,0,1,0,0,0,1,0,7,0,0,4,21.6,0,0.0,22.5,11.2,0.33
luna,bare,essays/luna/p2-launch-3.md,p2-launch,3,294,9,3,0,3,0,0,0,2,0,13,0,0,8,27.2,0,0.0,24.1,6.6,0.56
luna,bare,essays/luna/p3-linkedin-1.md,p3-linkedin,1,316,22,2,1,4,1,0,0,0,3,10,0,0,11,34.8,1,0.05,11.4,5.3,0.55
luna,bare,essays/luna/p3-linkedin-2.md,p3-linkedin,2,296,24,2,0,1,0,0,0,0,0,5,0,0,3,10.1,0,0.04,10.5,6.2,0.54
luna,bare,essays/luna/p3-linkedin-3.md,p3-linkedin,3,257,16,2,0,2,1,0,0,0,0,9,0,0,5,19.5,0,0.06,11.8,6.2,0.44
muse,bare,essays/muse/p1-essay-1.md,p1-essay,1,386,30,2,2,2,0,0,0,0,0,0,0,0,6,15.5,0,0.03,12.9,5.7,0.5
muse,bare,essays/muse/p1-essay-2.md,p1-essay,2,368,26,6,1,2,0,0,0,0,0,1,0,0,9,24.5,0,0.0,14.0,6.1,0.5
muse,bare,essays/muse/p1-essay-3.md,p1-essay,3,400,25,7,0,3,0,0,0,1,5,5,0,0,16,40.0,0,0.0,14.5,7.0,0.56
muse,bare,essays/muse/p2-launch-1.md,p2-launch,1,272,15,4,0,0,0,0,0,0,0,11,0,0,4,14.7,1,0.13,13.2,8.0,0.47
muse,bare,essays/muse/p2-launch-2.md,p2-launch,2,286,15,5,0,1,1,0,0,0,0,8,0,0,7,24.5,1,0.07,14.1,9.0,0.6
muse,bare,essays/muse/p2-launch-3.md,p2-launch,3,283,12,2,0,1,0,0,0,1,7,14,1,0,12,42.4,0,0.17,13.6,9.6,0.58
muse,bare,essays/muse/p3-linkedin-1.md,p3-linkedin,1,239,23,1,0,1,1,0,0,0,3,6,0,0,6,25.1,1,0.17,8.2,5.3,0.7
muse,bare,essays/muse/p3-linkedin-2.md,p3-linkedin,2,255,23,1,0,0,0,0,0,0,3,3,1,0,5,19.6,1,0.17,10.2,5.8,0.52
muse,bare,essays/muse/p3-linkedin-3.md,p3-linkedin,3,235,20,1,0,0,0,0,0,0,4,4,0,0,5,21.3,1,0.15,8.8,5.1,0.7
kimi,bare,essays/kimi/p1-essay-1.md,p1-essay,1,425,30,5,1,2,0,0,1,0,0,1,0,0,9,21.2,0,0.0,14,6.5,0.5
kimi,bare,essays/kimi/p1-essay-2.md,p1-essay,2,440,30,9,1,3,0,0,0,0,0,1,0,0,13,29.5,0,0.03,14.5,8.3,0.6
kimi,bare,essays/kimi/p1-essay-3.md,p1-essay,3,457,30,8,1,1,0,0,0,0,0,1,2,0,12,26.3,0,0.0,15.1,6.4,0.57
kimi,bare,essays/kimi/p2-launch-1.md,p2-launch,1,398,13,7,0,0,0,0,0,0,1,22,0,0,8,20.1,0,0.0,14.8,11.0,0.54
kimi,bare,essays/kimi/p2-launch-2.md,p2-launch,2,403,13,6,0,0,0,0,0,0,5,22,0,0,11,27.3,1,0.15,14.2,8.8,0.46
kimi,bare,essays/kimi/p2-launch-3.md,p2-launch,3,394,9,5,0,0,0,0,0,0,2,23,0,0,7,17.8,0,0.0,18.4,11.0,0.44
kimi,bare,essays/kimi/p3-linkedin-1.md,p3-linkedin,1,389,43,4,1,0,1,0,0,0,0,0,0,0,6,15.4,3,0.23,9.0,6.7,0.58
kimi,bare,essays/kimi/p3-linkedin-2.md,p3-linkedin,2,328,27,4,0,1,1,0,0,0,0,6,0,0,6,18.3,1,0.22,8.6,5.3,0.63
kimi,bare,essays/kimi/p3-linkedin-3.md,p3-linkedin,3,401,37,4,0,1,1,0,0,0,3,4,2,0,11,27.4,3,0.19,8.0,5.5,0.76
gemini38,bare,essays/gemini38/p1-essay-1.md,p1-essay,1,393,22,1,0,4,0,0,0,2,0,0,2,0,9,22.9,0,0.0,17.9,6.1,0.45
gemini38,bare,essays/gemini38/p1-essay-2.md,p1-essay,2,404,22,2,1,3,0,0,1,2,0,0,2,0,11,27.2,0,0.0,18.4,7.2,0.45
gemini38,bare,essays/gemini38/p1-essay-3.md,p1-essay,3,404,24,3,1,3,0,0,1,0,0,0,2,0,10,24.8,0,0.0,16.8,7.6,0.33
gemini38,bare,essays/gemini38/p2-launch-1.md,p2-launch,1,353,10,2,0,1,0,0,0,2,6,18,0,0,11,31.2,1,0.1,18.6,10.8,0.3
gemini38,bare,essays/gemini38/p2-launch-2.md,p2-launch,2,385,10,1,0,1,0,0,0,4,7,14,0,0,13,33.8,1,0.0,20.7,10.2,0.4
gemini38,bare,essays/gemini38/p2-launch-3.md,p2-launch,3,357,14,2,0,1,0,0,0,2,5,14,0,0,10,28.0,0,0.14,15.2,9.2,0.43
gemini38,bare,essays/gemini38/p3-linkedin-1.md,p3-linkedin,1,354,25,2,0,1,0,0,0,0,0,5,0,0,3,8.5,2,0.08,12.8,7.4,0.48
gemini38,bare,essays/gemini38/p3-linkedin-2.md,p3-linkedin,2,424,33,3,0,0,1,0,0,0,3,5,2,0,9,21.2,3,0.12,11.5,7.9,0.55
gemini38,bare,essays/gemini38/p3-linkedin-3.md,p3-linkedin,3,418,32,3,0,2,0,0,0,0,3,3,2,0,10,23.9,1,0.09,12.3,7.6,0.41
glm,bare,essays/glm/p1-essay-1.md,p1-essay,1,452,31,9,0,2,0,0,0,0,0,1,2,0,13,28.8,3,0.0,14.4,7.1,0.48
glm,bare,essays/glm/p1-essay-2.md,p1-essay,2,503,33,10,2,5,1,0,0,0,0,1,0,0,18,35.8,0,0.0,15.1,6.8,0.39
glm,bare,essays/glm/p1-essay-3.md,p1-essay,3,500,33,6,3,0,0,0,0,0,0,1,0,0,9,18.0,1,0.0,15,6.1,0.52
glm,bare,essays/glm/p2-launch-1.md,p2-launch,1,391,15,8,0,1,0,0,0,0,3,17,0,0,12,30.7,1,0.13,15,9.1,0.33
glm,bare,essays/glm/p2-launch-2.md,p2-launch,2,391,13,7,0,1,0,0,0,1,2,18,0,0,11,28.1,2,0.0,16.2,9.0,0.54
glm,bare,essays/glm/p2-launch-3.md,p2-launch,3,422,20,10,0,1,0,0,0,1,0,14,0,0,12,28.4,2,0.05,14.6,8.5,0.4
glm,bare,essays/glm/p3-linkedin-1.md,p3-linkedin,1,379,36,1,0,1,1,0,0,0,2,4,0,0,5,13.2,0,0.31,9.5,7.8,0.64
glm,bare,essays/glm/p3-linkedin-2.md,p3-linkedin,2,449,32,6,0,0,1,0,0,0,0,6,0,0,7,15.6,1,0.19,10.2,7.0,0.56
glm,bare,essays/glm/p3-linkedin-3.md,p3-linkedin,3,445,32,4,0,1,0,0,0,0,0,9,0,0,5,11.2,2,0.16,8.8,6.7,0.62
qwen,bare,essays/qwen/p1-essay-1.md,p1-essay,1,496,33,2,2,7,0,0,0,0,0,0,0,0,11,22.2,0,0.0,15.0,5.6,0.61
qwen,bare,essays/qwen/p1-essay-2.md,p1-essay,2,333,24,2,1,5,0,0,0,0,0,0,1,0,9,27.0,0,0.0,13.9,3.9,0.79
qwen,bare,essays/qwen/p1-essay-3.md,p1-essay,3,383,23,4,0,8,0,0,0,0,0,1,0,0,12,31.3,0,0.0,16.4,7.3,0.57
qwen,bare,essays/qwen/p2-launch-1.md,p2-launch,1,335,11,4,0,4,0,0,0,1,1,14,1,0,11,32.8,0,0.0,21.6,8.6,0.55
qwen,bare,essays/qwen/p2-launch-2.md,p2-launch,2,316,13,3,0,5,0,0,0,0,1,8,0,0,9,28.5,0,0.0,19.8,6.8,0.62
qwen,bare,essays/qwen/p2-launch-3.md,p2-launch,3,338,10,3,0,1,0,0,0,1,5,17,0,0,10,29.6,0,0.1,20,9.0,0.4
qwen,bare,essays/qwen/p3-linkedin-1.md,p3-linkedin,1,329,27,3,0,3,1,0,0,0,0,6,0,0,7,21.3,2,0.07,10,5.2,0.56
qwen,bare,essays/qwen/p3-linkedin-2.md,p3-linkedin,2,208,16,1,0,0,0,0,0,0,0,4,0,0,1,4.8,0,0.12,10.9,6.3,0.44
qwen,bare,essays/qwen/p3-linkedin-3.md,p3-linkedin,3,304,30,1,0,1,0,0,0,0,0,4,0,0,2,6.6,0,0.03,9.4,5.0,0.57
astra,steered,essays-steered/astra/p1-essay-1.md,p1-essay,1,411,33,0,1,3,0,0,0,0,0,0,0,0,4,9.7,0,0.0,12.5,5.3,0.58
astra,steered,essays-steered/astra/p1-essay-2.md,p1-essay,2,413,32,0,0,3,0,0,1,0,0,0,1,1,6,14.5,0,0.0,12.9,4.8,0.56
astra,steered,essays-steered/astra/p1-essay-3.md,p1-essay,3,406,31,0,0,1,0,0,0,0,0,0,1,0,2,4.9,0,0.0,13.1,6.3,0.52
astra,steered,essays-steered/astra/p2-launch-1.md,p2-launch,1,130,7,0,0,0,0,0,0,0,0,0,1,0,1,7.7,0,0.0,18.6,5.1,0.71
astra,steered,essays-steered/astra/p2-launch-2.md,p2-launch,2,119,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,17,7.2,0.43
astra,steered,essays-steered/astra/p2-launch-3.md,p2-launch,3,125,6,0,0,0,0,0,0,0,0,0,1,0,1,8.0,0,0.0,20.8,5.5,0.5
astra,steered,essays-steered/astra/p3-linkedin-1.md,p3-linkedin,1,239,23,0,0,2,0,0,0,0,0,0,0,0,2,8.4,1,0.0,10.4,5.3,0.52
astra,steered,essays-steered/astra/p3-linkedin-2.md,p3-linkedin,2,267,31,0,0,2,0,0,0,0,0,0,0,0,2,7.5,1,0.06,8.6,4.1,0.61
astra,steered,essays-steered/astra/p3-linkedin-3.md,p3-linkedin,3,331,33,0,0,2,0,0,0,0,0,0,0,0,2,6.0,1,0.03,10.0,5.1,0.55
sol,steered,essays-steered/sol/p1-essay-1.md,p1-essay,1,394,30,0,0,3,0,0,0,0,0,0,1,0,4,10.2,0,0.0,13.1,5.6,0.43
sol,steered,essays-steered/sol/p1-essay-2.md,p1-essay,2,424,32,0,1,2,0,0,0,0,0,0,1,0,4,9.4,0,0.0,13.2,6.3,0.47
sol,steered,essays-steered/sol/p1-essay-3.md,p1-essay,3,403,31,0,1,4,0,0,0,0,0,0,0,0,5,12.4,0,0.0,13,5.3,0.58
sol,steered,essays-steered/sol/p2-launch-1.md,p2-launch,1,149,9,0,0,4,0,0,0,1,0,0,0,0,5,33.6,0,0.0,16.6,5.0,0.67
sol,steered,essays-steered/sol/p2-launch-2.md,p2-launch,2,165,8,0,0,1,0,0,0,1,0,0,0,0,2,12.1,0,0.0,20.6,5.0,0.62
sol,steered,essays-steered/sol/p2-launch-3.md,p2-launch,3,137,7,0,0,2,0,0,0,0,0,0,0,0,2,14.6,0,0.0,19.6,6.4,0.57
sol,steered,essays-steered/sol/p3-linkedin-1.md,p3-linkedin,1,241,26,0,0,2,0,0,0,0,0,0,0,0,2,8.3,4,0.0,9.3,4.0,0.58
sol,steered,essays-steered/sol/p3-linkedin-2.md,p3-linkedin,2,254,24,0,0,3,0,0,0,0,0,0,0,1,4,15.7,5,0.04,10.6,5.6,0.54
sol,steered,essays-steered/sol/p3-linkedin-3.md,p3-linkedin,3,259,24,0,0,1,0,0,0,0,0,0,0,0,1,3.9,2,0.0,10.8,5.5,0.54
fable,steered,essays-steered/fable/p1-essay-1.md,p1-essay,1,532,36,0,0,0,0,0,0,0,0,0,1,0,1,1.9,0,0.06,14.8,7.4,0.5
fable,steered,essays-steered/fable/p1-essay-2.md,p1-essay,2,524,28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,18.7,8.1,0.43
fable,steered,essays-steered/fable/p1-essay-3.md,p1-essay,3,535,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,17.8,8.8,0.53
fable,steered,essays-steered/fable/p2-launch-1.md,p2-launch,1,494,29,0,0,4,1,0,0,0,0,0,0,0,5,10.1,0,0.0,17.0,9.2,0.34
fable,steered,essays-steered/fable/p2-launch-2.md,p2-launch,2,498,30,0,0,5,1,0,1,0,0,0,0,0,7,14.1,0,0.0,16.6,7.3,0.53
fable,steered,essays-steered/fable/p2-launch-3.md,p2-launch,3,497,28,0,0,2,1,0,0,0,0,0,0,0,3,6.0,0,0.0,17.8,8.8,0.36
fable,steered,essays-steered/fable/p3-linkedin-1.md,p3-linkedin,1,468,39,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.08,12,7.7,0.44
fable,steered,essays-steered/fable/p3-linkedin-2.md,p3-linkedin,2,501,45,0,0,1,0,0,0,0,0,0,0,0,1,2.0,0,0.07,11.1,7.7,0.53
fable,steered,essays-steered/fable/p3-linkedin-3.md,p3-linkedin,3,495,42,0,1,0,0,0,0,0,0,0,1,0,2,4.0,1,0.07,11.8,7.1,0.5
opus,steered,essays-steered/opus/p1-essay-1.md,p1-essay,1,510,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,17.6,9.1,0.41
opus,steered,essays-steered/opus/p1-essay-2.md,p1-essay,2,528,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,14.3,6.0,0.51
opus,steered,essays-steered/opus/p1-essay-3.md,p1-essay,3,514,31,0,1,2,0,0,0,0,0,0,0,0,3,5.8,0,0.0,16.6,7.7,0.39
opus,steered,essays-steered/opus/p2-launch-1.md,p2-launch,1,542,29,0,0,2,0,0,0,0,0,0,1,0,3,5.5,0,0.0,18.7,9.9,0.34
opus,steered,essays-steered/opus/p2-launch-2.md,p2-launch,2,509,28,0,0,3,1,0,0,0,0,0,0,0,4,7.9,0,0.04,18.2,10.1,0.54
opus,steered,essays-steered/opus/p2-launch-3.md,p2-launch,3,504,27,0,0,2,1,0,0,0,0,0,0,0,3,6.0,0,0.0,18.7,10.0,0.37
opus,steered,essays-steered/opus/p3-linkedin-1.md,p3-linkedin,1,534,40,0,1,0,0,0,0,0,0,0,0,0,1,1.9,0,0.03,13.3,7.4,0.42
opus,steered,essays-steered/opus/p3-linkedin-2.md,p3-linkedin,2,471,40,0,0,0,0,1,0,0,0,0,0,0,1,2.1,1,0.05,11.8,6.1,0.5
opus,steered,essays-steered/opus/p3-linkedin-3.md,p3-linkedin,3,483,37,0,0,0,0,1,0,0,0,0,0,0,1,2.1,0,0.03,13.1,9.5,0.49
grok,steered,essays-steered/grok/p1-essay-1.md,p1-essay,1,378,31,0,0,1,0,0,0,0,0,0,0,0,1,2.6,0,0.03,12.2,6.2,0.52
grok,steered,essays-steered/grok/p1-essay-2.md,p1-essay,2,342,21,0,0,1,0,0,0,0,0,0,0,0,1,2.9,0,0.0,16.3,7.4,0.43
grok,steered,essays-steered/grok/p1-essay-3.md,p1-essay,3,444,28,0,0,2,0,0,0,0,0,0,0,0,2,4.5,0,0.04,15.9,7.2,0.61
grok,steered,essays-steered/grok/p2-launch-1.md,p2-launch,1,260,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.1,13,9.1,0.45
grok,steered,essays-steered/grok/p2-launch-2.md,p2-launch,2,207,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,12.9,6.3,0.5
grok,steered,essays-steered/grok/p2-launch-3.md,p2-launch,3,212,14,0,0,3,0,0,0,0,0,0,0,0,3,14.2,0,0.0,15.1,8.5,0.36
grok,steered,essays-steered/grok/p3-linkedin-1.md,p3-linkedin,1,247,23,0,0,1,0,0,0,0,0,0,0,0,1,4.0,0,0.09,10.7,4.6,0.48
grok,steered,essays-steered/grok/p3-linkedin-2.md,p3-linkedin,2,264,23,0,0,1,0,0,0,0,0,0,0,0,1,3.8,0,0.0,11.5,5.0,0.61
grok,steered,essays-steered/grok/p3-linkedin-3.md,p3-linkedin,3,290,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.09,9.1,4.9,0.62
human,control,control/human/human-01-2021-08-23.md,control,0,189,10,0,1,1,0,0,0,0,0,0,0,0,2,10.6,2,0.0,18.9,10.3,0.4
human,control,control/human/human-02-2022-01-05.md,control,0,340,24,0,0,1,0,0,1,0,0,8,1,0,3,8.8,1,0.04,11.8,6.3,0.46
human,control,control/human/human-03-2022-05-29.md,control,0,381,14,0,1,0,0,0,0,0,0,7,0,0,1,2.6,3,0.0,16.6,9.3,0.57
human,control,control/human/human-04-2022-06-19.md,control,0,206,6,0,0,0,0,0,2,1,0,3,0,0,3,14.6,0,0.0,13.7,4.3,0.67
human,control,control/human/human-05-2022-07-02.md,control,0,207,21,0,0,0,0,0,0,1,0,0,0,0,1,4.8,4,0.1,9.9,5.8,0.57
human,control,control/human/human-06-2022-07-12.md,control,0,397,12,0,0,1,0,0,0,0,0,10,0,0,1,2.5,1,0.0,17.6,9.6,0.5
human,control,control/human/human-07-2022-07-20.md,control,0,471,28,9,1,1,0,0,0,0,0,9,0,0,11,23.4,1,0.0,15.7,7.1,0.5
human,control,control/human/human-08-2022-07-30.md,control,0,262,27,0,0,0,0,0,0,0,0,3,0,0,0,0.0,2,0.04,9.4,3.9,0.52
human,control,control/human/human-09-2022-08-07.md,control,0,353,23,0,0,0,0,0,0,1,0,8,0,0,1,2.8,4,0.04,10.3,7.9,0.61
human,control,control/human/human-10-2022-08-20.md,control,0,236,13,5,0,0,0,0,0,0,0,5,0,0,5,21.2,1,0.0,11,4.7,0.46
human,control,control/human/human-11-2022-08-28.md,control,0,382,32,0,0,0,0,0,0,0,0,7,1,0,1,2.6,2,0.12,10.5,6.1,0.5
human,control,control/human/human-12-2022-09-07.md,control,0,300,23,0,0,1,0,0,1,0,0,4,0,0,2,6.7,6,0.0,11.1,7.1,0.52
human,control,control/human/human-13-2022-09-26.md,control,0,248,3,1,0,0,0,0,0,0,0,10,0,0,1,4.0,1,0.0,10.7,4.0,0.67
human,control,control/human/human-14-2022-10-12.md,control,0,222,7,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0,0.0,12.7,3.8,0.71
human,control,control/human/human-15-2022-10-25.md,control,0,439,14,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0,0.0,11.1,5.1,0.57
